question,answer,page,category,made_date
個体から直接気体の状態になることを何と呼ぶか,昇華,P10,correction,2021/05/31
水が液体→個体→気体へと変化していくことをなんと呼ぶか　　　　　　　,状態変化,P10,correction,2021/10/12
酸素を作るには何と何を混ぜると良いか。２つ答えなさい,二酸化マンガンと過酸化酸素水、過炭酸ナトリウムと約６０度の水,P10,correction,2021/10/12
二酸化炭素を作るには何を混ぜると良いか二つ答えなさい,石灰石と塩酸、炭酸水素ナトリウムと酢酸,P10,correction,2021/10/12
塩素の色は何色か,黄緑色,P10,correction,2021/10/12
塩化水素の水溶液のことをなんと呼ぶか,塩酸,P10,correction,2021/10/12
塩化水素の水溶液は何性を示すか,酸性,P10,correction,2021/10/12
水素を発生させるために必要な物質を答えよ,亜鉛・塩酸,P10,correction,2021/10/12
アンモニアを発生させるために必要な物質を答えよ,水酸化カルシウム・塩化アンモニウム,P10,correction,2021/10/12
塩化コバルト紙に水をつけると何色に変化するか,赤色,P10,correction,2021/10/12
空気よりも重い気体をこの中から全て選べ。酸素・アンモニア・水素・窒素・塩化水素・二酸化炭素・塩素・二酸化硫黄,酸素・塩化水素・二酸化炭素・塩素・二酸化硫黄,P10,correction,2021/10/12
塩酸を近づけると白い煙が生じる気体をこの中から一つ選びなさい。水素・酸素・窒素・アンモニア・二酸化炭素,アンモニア,P10,correction,2021/10/12
特有の匂いがして水に非常によくとけて水溶液はアルカリ性をしめす気体の名前をこの中から選びなさい。アンモニア・二酸化炭素・酸素・塩化水素・水素,アンモニア,P10,correction,2021/10/12
ア、ミジンコ　イ、ゾウリムシ　ウ、クラゲ　エ、クモ　オ、ミミズ　カ、アリ　の中から節足動物を選び記号で答えなさい。,ア、エ、カ,P10,correction,2021/10/12
バッタ、ミジンコ・マイマイ・ハマグリ・ミミズのような動物をまとめてなんと呼ぶか,無脊椎動物,P10,correction,2021/10/12
A、ネコ　B、カナヘビ　C、ハト　D、カエル　E、フナ　F、バッタ　G、ミジンコ　H、マイマイ　I、ハマグリ　J、ミミズの中からタコやイカと同じ仲間の動物を全て選び記号で答えなさい,H、I,P10,correction,2021/10/12
軟体動物として適切なものを次のあ〜かの中から2つ選びなさい。あ、アサリ　い、ウニ　う、カニ　え、タコ　お、ミジンコ　か、ミミズ,あ・え,P10,correction,2021/10/12
節足動物として適切なものを次のあ〜かの中から2つ選びなさい。あ、アサリ　い、ウニ　う、カニ　え、タコ　お、ミジンコ　か、ミミズ,う、お,P10,correction,2021/10/12
軟体動物・節足動物以外の無脊椎動物として適切なものを次のあ〜かの中から2つ選びなさい。あ、アサリ　い、ウニ　う、カニ　え、タコ　お、ミジンコ　か、ミミズ,,P10,correction,2021/10/12
光源とはなにか？,自ら光を出せるもの,P10,correction,2022/02/10
反射の法則とはなにか？,入射角＝反射角,P10,correction,2022/02/10
