question,answer,page,category,made_date,exam
ガスバーナーで火をつけ終わってから何を回して炎の大きさを調節するか？,ガス調節ネジ,P188,jiyujizai,2021/08/25,all
ガス調節ネジを押さえながら空気調節ネジを回して炎の色を何色にするか？,青,P188,jiyujizai,2021/08/25,all
ガスバーナーの火を消す時にまず何調節ネジを閉めるか,空気調節ネジ,P188,jiyujizai,2021/08/25,all
ガスバーナーの火を消す時、2番目に何を閉めるか,ガス調節ネジ,P188,jiyujizai,2021/08/25,all
ガスバーナーの火を消す時、最後にガスの何を閉じるか,元栓,P188,jiyujizai,2021/08/25,all
日向に咲く植物は何を盛んに行うか,光合成,P188,jiyujizai,2021/08/25,all
日陰に咲く植物は何で増える植物が多いか,胞子,P188,jiyujizai,2021/08/25,all
電子てんびんで物を測る時には薬包紙を置いてから表示を何にするか,0.0または0.00,P188,jiyujizai,2021/06/30,all
上皿てんびんで薬品を測りとる時は両方に薬包紙をのせ一方に薬品を乗せもう一方に何を乗せるか,分銅,P188,jiyujizai,2021/06/30,all
上皿てんびんで薬品を測りとる時に分銅をのせていない方に薬品をどのくらいずつ乗せていくか,少しずつ乗せていく,P188,jiyujizai,2021/06/30,all
気体の匂いを調べるときにしてはいけないことを答えなさい,直接匂いを嗅ぐこと,P188,jiyujizai,2021/06/30,all
気体の匂いを調べる時にはどのようにして匂いを調べれば良いか,手で仰ぐようにして嗅ぐ,P188,jiyujizai,2021/06/30,all
メスシリンダーを使って質量を測る時にはどこから目盛りを読み取ればいい？,真横,P189,jiyujizai,2021/06/30,all
水に溶けやすく空気より重い気体を集めるためには何法で集めれば良いか,下方置換法,P189,jiyujizai,2021/06/30,all
水に溶けにくい気体を集めるためには何法を使えば良いか,水上置換法,P189,jiyujizai,2021/06/30,all
水に溶けやすく空気より軽い気体を調べる時には何法を使って調べるか,上方置換法,P189,jiyujizai,2021/06/30,all
光の三原色を全て答えよ,赤・青・緑,P19,jiyujizai,2021/08/05,all
光が跳ね返ることを何と呼ぶか,光の反射,P19,jiyujizai,2021/08/05,all
水を氷にすると体積は増えるか減るか,増える,P190,jiyujizai,2021/06/30,all
液体のロウを固体にすると体積は増えるか減るか,減る,P191,jiyujizai,2021/06/30,all
物質の単位体積あたりの質量をその物質の何と呼ぶか,密度,P192,jiyujizai,2021/06/30,all
密度を表す単位の読みを答えなさい,グラム毎立方センチメートル,P192,jiyujizai,2021/06/30,all
物質の密度を出すときの公式を答えなさい,物質の質量÷物質の体積,P192,jiyujizai,2021/06/30,all
密度0.4g/㎤の木は水に浮くか浮かないか。ただし水の密度は1g/㎤とする,浮く,P192,jiyujizai,2021/06/30,all
密度7.9g/㎤の鉄は水に浮くか浮かないか。ただし水の密度は1g/㎤とする,浮かない,P192,jiyujizai,2021/06/30,all
ある物質の体積とそれと同じ体積の基準となる物質と質量との比を何と呼ぶか,比重,P194,jiyujizai,2021/07/07,all
2つ以上の物質が混ざり合ってできているものを何と呼ぶか,混合物,P194,jiyujizai,2021/07/07,all
1つの物質だけでできているものを何と呼ぶか,純物質,P194,jiyujizai,2021/07/07,all
混合物に含まれている物質を何と呼ぶか,混合物の物質,P194,jiyujizai,2021/07/07,all
純物質をさらに分けるとどうなるか,単体・化合物に分けられる,P195,jiyujizai,2021/07/07,all
物質が溶ける時の温度を何と呼ぶか,融点,P195,jiyujizai,2021/07/07,all
物質が沸騰する時の温度を何と呼ぶか,沸点,P195,jiyujizai,2021/07/07,all
物質が溶けることを何と呼ぶか,融解,P195,jiyujizai,2021/07/07,all
水の沸点は何度ですか,100度,P195,jiyujizai,2021/07/07,all
物質が凝固する時の温度を何と呼ぶか,凝固点,P195,jiyujizai,2021/07/07,all
気体を冷やして液体として集めることを何と呼ぶか,蒸留,P197,jiyujizai,2021/07/07,all
液体の内部に気泡が生じ内部からも盛んに蒸発が起こることを何と呼ぶか,沸騰,P197,jiyujizai,2021/07/07,all
鏡に当てる光のことを何と呼ぶか,入射光,P20,jiyujizai,2021/08/05,all
鏡に当てて反射した光を何と呼ぶか,反射光,P20,jiyujizai,2021/08/05,all
入射光が当たった鏡の位置を何と呼ぶか,入射点,P20,jiyujizai,2021/08/05,all
入射光と入射点に立てた鏡の面と垂直な直線のなす角度を何と呼ぶか,入射角,P20,jiyujizai,2021/08/05,all
反射光と鏡の面の法線とのなす角を何と呼ぶか,反射角,P20,jiyujizai,2021/08/05,all
入射角と反射角が常に等しいということを何と呼ぶか,反射の法則,P20,jiyujizai,2021/08/05,all
様々な方向に光が反射することを何と呼ぶか,乱反射,P21,jiyujizai,2021/08/05,all
写真などに実際に写すことのできる像を何と呼ぶか,実像,P21,jiyujizai,2021/08/05,all
光を延長してできる像のことを何と呼ぶか,虚像,P21,jiyujizai,2021/08/05,all
直径が、1〜数百nm程度の大きさの粒子のことをなんと呼ぶか,コロイド粒子,P211,jiyujizai,2021/08/25,all
コロイド粒子が他の物質に均一に混ざる状態をなんと呼ぶか,コロイド溶液,P211,jiyujizai,2021/08/25,all
温度による溶解度の変化をグラフで表したものをなんと呼ぶか,溶解度曲線,P214,jiyujizai,2021/08/25,all
個体の物質が溶けている水溶液から溶解度の差を利用して個体の物質を再び結晶に戻すことをなんと呼ぶか,再結晶,P215,jiyujizai,2021/08/25,all
光の進行方向が物質を通るときに変わることを何と呼ぶか,光の屈折,P22,jiyujizai,2021/08/05,all
光がある物質に入射して曲がるとき、物質の面の法線と曲がったあとの光のなす角度をなんと呼ぶか？,屈折角,P22,jiyujizai,2021/08/05,all
入射角がある角度より大きくなると光は空気中へ出ずに全部水面で反射してしまうこのような反射の現象を何と呼ぶか,全反射,P22,jiyujizai,2021/08/05,all
水などによって屈折した光をなんと呼ぶか,屈折光,P22,jiyujizai,2021/08/25,all
光の屈折の法則として入射角と屈折角はどちらが大きくなるか？,入射角,P22,jiyujizai,2021/08/25,all
物質そのものの本質は変わらない変化を何というか,物理変化,P222,jiyujizai,2021/07/12,all
個体・液体・気体のように物質の状態が変化することをなんというか,状態変化,P222,jiyujizai,2021/07/12,all
物質の形や大きさが変わることを何というか,変形,P222,jiyujizai,2021/07/12,all
2種類以上の物質がその性質を保ったまま混ざったものを何というか,混合物,P222,jiyujizai,2021/07/12,all
2種類以上の物質が結びついた化合物が別の2種類以上の物質に分かれる化学変化のことを何と呼ぶか,分解,P223,jiyujizai,2021/07/12,all
熱による分解のことを何というか,熱分解,P223,jiyujizai,2021/07/12,all
電気エネルギーによる分解のことを何と呼ぶか,電気分解,P227,jiyujizai,2021/07/12,all
光エネルギーによる分解を何と呼ぶか,光分解,P228,jiyujizai,2021/07/12,all
物質を構成している基本的な成分を何というか,元素,P228,jiyujizai,2021/07/12,all
現在元素は何種類見つかっているか,118種類,P229,jiyujizai,2021/07/12,all
物質はこれ以上分けられない最小の粒子からなる。この粒子のことを何と呼ぶか,原子,P229,jiyujizai,2021/07/13,all
光が真空中からある物質へと入射するときの相対屈折率をその物質の何というか,屈折率(絶対屈折率),P23,jiyujizai,2021/08/05,all
元素はアルファベットを使い、何として表しているか,元素記号,P230,jiyujizai,2021/07/13,all
性質が似ている原子ごとに整理しそれを質量順に並べ替えた表を原型とする表のことを何と呼ぶか,周期表,P231,jiyujizai,2021/07/13,all
原子がいくつか結びついた何という粒子が物質の性質を備えた最小単位の粒子と考えられるか,分子,P232,jiyujizai,2021/07/13,all
炭素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
マグネシウムは原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
ケイ素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
鉄は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
銅は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
亜鉛は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
銀は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
金は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,原子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
鉛は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
水素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
ヘリウムは原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
窒素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
塩素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
リンは原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
ヨウ素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
酸素は原子が集まって存在する物質と分子が集まって存在する物質のどちらか,分子が集まって存在する物質,P232,jiyujizai,2021/07/13,all
世界の共通記号を使って物質を表したものをなんと呼ぶか,化学式,P234,jiyujizai,2021/08/25,all
Nh(ニホニウム)は原子番号何番か,113番,P236,jiyujizai,2021/07/13,all
化学変化は何ともいうか,化学反応,P238,jiyujizai,2021/07/13,all
物質と硫黄が結びついてできた化合物のことを何と呼ぶか,硫化物,P238,jiyujizai,2021/07/13,all
鉄と硫黄が反応すると何ができるか,硫化鉄,P238,jiyujizai,2021/07/13,all
化学式を使って物質の化学変化を表した式のことをなんと呼ぶか,化学反応式,P244,jiyujizai,2021/08/25,all
激しい熱や光を出しながら燃えて酸素と結びつく化学反応のことをなんと呼ぶか,燃焼,P248,jiyujizai,2021/07/13,all
木炭は気体・個体・液体のうちのどこに入るか,個体,P248,jiyujizai,2021/07/13,all
木片は気体・個体・液体のうちのどこに入るか,個体,P248,jiyujizai,2021/07/13,all
スチールウールは気体・個体・液体のうちのどこに入るか,個体,P248,jiyujizai,2021/07/13,all
マグネシウムは気体・個体・液体のうちのどこに入るか,個体,P248,jiyujizai,2021/07/13,all
エタノールは気体・個体・液体のうちのどこに入るか,液体,P248,jiyujizai,2021/07/13,all
プロパンガスは気体・個体・液体のうちのどこに入るか,気体,P248,jiyujizai,2021/07/13,all
都市ガスは気体・個体・液体のうちのどこに入るか,気体,P248,jiyujizai,2021/07/13,all
金属が酸素と結びつくことをなんというか,酸化,P252,jiyujizai,2021/07/13,all
酸素と結びついた化合物のことをなんというか,酸化物,P252,jiyujizai,2021/07/13,all
酸化物から酸素が取れる化学反応のことを何と呼ぶか,還元,P252,jiyujizai,2021/07/13,all
鉄と酸素が結びついた酸化物を何と呼ぶか,酸化鉄,P252,jiyujizai,2021/07/13,all
木材を燃焼させ続けると木材は炭になった後に何になるか,灰,P252,jiyujizai,2021/07/14,all
マグネシウムに酸素が結びついた酸化物をなんと呼ぶか,酸化マグネシウム,P252,jiyujizai,2021/07/14,all
酸化と還元は同時に起こる。このことをなんと呼ぶか,酸化還元反応,P258,jiyujizai,2021/07/14,all
化学変化が起こる時周囲にエネルギーを出す反応のことをなんと呼ぶか,発熱反応,P263,jiyujizai,2021/07/14,all
化学変化が起こるときに周囲からエネルギーを奪う反応のことを何と呼ぶか,吸熱反応,P264,jiyujizai,2021/07/14,all
化学変化が起こる時に出入りするエネルギーを熱量としてとらえたものを何というか,反応熱,P268,jiyujizai,2021/07/14,all
あるものが完全燃焼したときに発生する熱量を何と呼ぶか,燃焼熱,P268,jiyujizai,2021/07/14,all
マンガン電池やアルカリ電池のような使い切りの電池のことをなんと呼ぶか,一次電池,P269,jiyujizai,2021/07/14,all
鉛蓄電池やリチウムイオンバッテリーのような充電して繰り返し使える電池のことを何と呼ぶか,二次電池,P269,jiyujizai,2021/07/14,all
さんとアルカリが中和して水ができるときに発生する熱量のことを何と呼ぶか,中和熱,P269,jiyujizai,2021/07/14,all
化合物がその成分である元素の単体から生成される時の反応熱のことを何と呼ぶか,生成熱,P269,jiyujizai,2021/07/14,all
物質が多量の水に溶ける時の反応熱を何と呼ぶか,溶解熱,P269,jiyujizai,2021/07/14,all
化学燃料などの持つ化学エネルギーを力化学エネルギーに変える仕組みを何と呼ぶか,熱機関,P269,jiyujizai,2021/07/14,all
燃料を機関内部で燃焼させるのは何機関か,内燃機関,P269,jiyujizai,2021/07/14,all
燃料を期間外侮で燃焼させるのは何機関か,外燃機関,P269,jiyujizai,2021/07/14,all
密閉された容器で化学反応が起こる場合、その容器全体の質量は化学変化の前後で変わらない。このことは、すべての化学変化に当てはまる。このことをなんと呼ぶか。,質量保存の法則,P270,jiyujizai,2021/08/25,all
凸レンズを通った太陽光はある一点に集まる。この点を何と呼ぶか,焦点,P28,jiyujizai,2021/08/05,all
レンズから焦点までの距離を何と呼ぶか,焦点距離,P28,jiyujizai,2021/08/05,all
水に溶かした時に電流が流れる物質のことをなんと呼ぶか,電解質,P284,jiyujizai,2021/07/14,all
水に溶かしても電流が流れない物質のことを何と呼ぶか,非電解質,P284,jiyujizai,2021/07/14,all
水溶液に電流を流した時電流がよく流れる電解質をなんと呼ぶか,強電解質,P284,jiyujizai,2021/07/14,all
水溶液に電流を流した時に電流が少ししか流れない電解質を何と呼ぶか,弱電解質,P284,jiyujizai,2021/07/14,all
塩酸は強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
硫酸は強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
硝酸は強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
水酸化ナトリウムは強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
水酸化カルシウムは強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
水酸化バリウムは強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
塩化ナトリウムは強電解質と弱電解質のどちらか,強電解質,P284,jiyujizai,2021/07/14,all
酢酸は強電解質と弱電解質のどちらか,弱電解質,P284,jiyujizai,2021/07/14,all
硫化水素は強電解質と弱電解質のどちらか,弱電解質,P284,jiyujizai,2021/07/14,all
アンモニアは強電解質と弱電解質のどちらか,弱電解質,P284,jiyujizai,2021/07/14,all
水酸化アルミニウムは強電解質と弱電解質のどちらか,弱電解質,P284,jiyujizai,2021/07/14,all
原子の中心には何があるか,原子核,P287,jiyujizai,2021/07/14,all
原子核は＋の電気をおびた何と電気的に中性の何が集まってできているか,陽子・中性子,P287,jiyujizai,2021/07/14,all
原子核の周りにはーの電気をおびた何があるか,電子,P287,jiyujizai,2021/07/14,all
原子を番号順に並べたものをなんと呼ぶか,周期表,P287,jiyujizai,2021/07/14,all
同じ原子だが中性子の数が異なる原子をなんと呼ぶか,同位体,P287,jiyujizai,2021/07/14,all
電気を帯びた原子のことをなんと呼ぶか,イオン,P288,jiyujizai,2021/07/14,all
＋の電気を帯びたイオンのことをなんと呼ぶか,陽イオン,P288,jiyujizai,2021/07/14,all
ーのイオンを帯びたイオンのことを何と呼ぶか,陰イオン,P288,jiyujizai,2021/07/14,all
電子は何という複数のそうに分かれて配置されているか,電子殻,P288,jiyujizai,2021/07/14,all
物質を水に溶かしたときに陽イオンと陰イオンに別れることをなんとよぶか,電離,P291,jiyujizai,2021/07/14,all
水の電気分解と逆の化学変化を利用した電池のことをなんと呼ぶか,燃料電池,P297,jiyujizai,2021/07/14,all
水溶液に電流を流したときに化合物が分解される化学変化をなんと呼ぶか,電気分解,P297,jiyujizai,2021/07/14,all
水に溶かしたときに電離して水素イオンを生じる化合物のことをなんと呼ぶか,酸,P300,jiyujizai,2021/08/26,all
水に溶かしたときに電離して水酸化イオンを生じる化合物のことをなんと呼ぶか,アルカリ,P302,jiyujizai,2021/07/14,all
酸性やアルカリ性の強さを表したものを何と呼ぶか,pH,P305,jiyujizai,2021/07/14,all
酸性とアルカリ性の水溶液を混ぜ合わせると互いの性質を打ち消し合う反応が起こる。このような反応のことを何と呼ぶか,中和反応(中和),P308,jiyujizai,2021/07/14,all
音の出る揺れをなんとよぶか,振動,P31,jiyujizai,2021/08/06,all
音を出す物体のことをなんと呼ぶか。2つ答えなさい,音源、発音体,P31,jiyujizai,2021/08/25,all
水溶液中のイオンが結びついて水に溶けにくい塩ができることがある。このように水の溶けにくい物質が生じる反応のことをなんと呼ぶか,沈殿反応,P313,jiyujizai,2021/07/15,all
音として伝わる波を何と呼ぶか,音波,P32,jiyujizai,2021/08/06,all
音波の波から波までを何と呼ぶか,波長,P32,jiyujizai,2021/08/06,all
音波の山の高さを何と呼ぶか,振幅,P32,jiyujizai,2021/08/06,all
音の大きさ、音の高さ、音色を色の何と呼ぶか,音の三要素,P32,jiyujizai,2021/08/06,all
音の高さは振動数が多いほどどんな音となるか,高い音,P32,jiyujizai,2021/08/06,all
バッタ、かまきり、コオロギなどは冬をどんな状態でこしますか,卵,P324,jiyujizai,2021/06/28,all
ミノムシ、オオムラサキなどは冬をどんな状態でこしますか,幼虫,P324,jiyujizai,2021/06/28,all
モンシロチョウ、アゲハなどは冬をどんな状態でこしますか,さなぎ,P324,jiyujizai,2021/06/28,all
あり、ミツバチ、てんとう虫などは冬をどんな状態でこしますか,成虫,P324,jiyujizai,2021/06/28,all
チューリップは何度を境目にしてその温度より低くなると閉じ高くなると開くのか,18度,P326,jiyujizai,2021/06/28,all
たんぽぽは何の強さによって開いたり閉じたりしますか,光,P326,jiyujizai,2021/06/28,all
乾燥地に咲く花などの根の特徴を答えなさい,根が長い,P326,jiyujizai,2021/06/28,all
乾燥地に咲く花はなぜ葉の裏に毛が生えていますか,蒸散を防ぐため,P326,jiyujizai,2021/06/28,all
ルーペを使う時観察するものが動かせる時、何を動かすのが良いか？,観察するもの,P327,jiyujizai,2021/06/28,all
ルーペを使う時観察するものが動かせない時、どちらを動かすのが良いか,顔,P327,jiyujizai,2021/06/28,all
双眼実体顕微鏡の多くは何から何倍で観察できるものが多いか,20〜40倍,P327,jiyujizai,2021/06/28,all
双眼実体顕微鏡の特徴を答えなさい,立体的に物をそのまま見られる,P327,jiyujizai,2021/06/28,all
顕微鏡は何倍から何倍で物を見ることができるか,40倍〜600倍,P328,jiyujizai,2021/06/28,all
歴史上で初めて微生物を観察した人は？,アントニ・ファン・レーウェンフック,P328,jiyujizai,2021/06/28,all
なぜプレパラートと対物レンズの間を横から見ながら近づけるのか答えなさい,プレパラートと対物レンズがぶつかりプレパラートが割れたり対物レンズが汚れたりするから,P329,jiyujizai,2021/06/28,all
動かしたい物を顕微鏡で見るときは動かしたい方向とどちら向きの方向にプレパラートを動かす必要があるか,逆の方向,P329,jiyujizai,2021/06/28,all
倍率はどのように求めるか,接眼レンズの倍率×対物レンズの倍率,P329,jiyujizai,2021/06/28,all
顕微鏡で観察物を観察するときは何を避ける必要があるか,直射日光,P329,jiyujizai,2021/06/28,all
なぜ双眼実体顕微鏡では接眼レンズをつけてから対物レンズをつけるのですか,鏡筒の中に埃が入るのを防ぐため,P329,jiyujizai,2021/06/28,all
顕微鏡で見るものは何が反対になって見えますか,上下,P329,jiyujizai,2021/06/28,all
スケッチするときはどのような線で書けばいいか,細い線,P330,jiyujizai,2021/06/28,all
スケッチするときは影をつけても良いか,よくない,P331,jiyujizai,2021/06/28,all
スケッチをする時に書くとよい物を全て答えなさい,年月日、時刻、天候、温度、場所と環境、観察の狙い、観察結果、(図やグラフを含む)、考察と課題(まとめ)、感想,P331,jiyujizai,2021/06/28,all
なぜルーペで太陽を見てはいけないのか,目を痛めるから,P332,jiyujizai,2021/06/28,all
スケッチするときの絵は線をぼかしたりしていいですか,ダメです,P332,jiyujizai,2021/06/28,all
正確に生物の名前を調べるためには何を使うと良いか,検索表,P332,jiyujizai,2021/08/29,all
