question,answer,page,made_date
世界地図の欠点を答えなさい,形や面積・方位・距離などが正しく表されていない,P31,2021/06/28
中心からの距離が正しく示せる図法のことを何図法とよぶか,正距方位図法,P32,2021/06/28
表面積が正しく表すことができる図法のことを何図法と呼ぶか,モルワイデ図法,P32,2021/06/28
緯線と経線を直角に交わらせてかける図法を何図法とよぶか,メルカトル図法,P32,2021/06/28
日本は何大陸の東にある国か,ユーラシア大陸,P33,2021/06/28
標準時の差のことをなんと呼ぶか,時差,P34,2021/06/28
180度の経線を沿うようになんと呼ばれる線が引かれているか,日付変更線,P34,2021/06/28
日本の標準時子午線は東経何度か,東経135度,P34,2021/06/28
日本の標準時子午線は何県の何市を通っているか,兵庫県明石市,P34,2021/06/28
領域は何と領海と領空からなるか,領地,P35,2021/06/30
領域は何と領海と領空からなるか,領海,P35,2021/06/30
領域は領地と領海と何からなるか,領空,P35,2021/06/30
日本列島は1番大きい何が中心になっているか,本州,P35,2021/06/30
日本は本州以外に何からなる島となっているか,九州・四国・北海道,P35,2021/06/30
北海道から沖縄までの距離は何キロメートルか,およそ三千キロメートル,P35,2021/06/30
日本の国土面積は約何万平方キロメートルか,約38万平方キロメートル,P35,2021/06/30
日本最北端は北海道の何島ですか,択捉島,P35,2021/06/30
日本の最西端は沖縄県の何島ですか,与那国島,P35,2021/06/30
日本の最南端は東京都の何島ですか,沖ノ鳥島,P35,2021/06/30
日本の最東端は東京都の何島ですか,南鳥島,P35,2021/06/30
波の浸食から島を守るために護岸工事を施された島は何島ですか,沖ノ鳥島,P35,2021/06/30
日本の領海は干潮時の海岸線から何海里進んだところまでですか,12海里,P36,2021/06/30
各国の領土沿岸から200海里のことをなんと呼ぶか,排他的経済水域,P36,2021/06/30
歯舞群島・色丹島・国後島・択捉島からなる群島のことをなんと呼ぶか,北方領土,P36,2021/06/30
北方領土は第二次世界大戦後にどこの国に不法占拠されたか,ロシア連邦,P36,2021/06/30
1952年から韓国は鳥取県に属する何島を自国の島だと主張するようになったか,竹島,P36,2021/06/30
沖縄県に属する何諸島は過去に中国や台湾から領有権を主張されていましたか。,尖閣諸島,P36,2021/06/30
日本は何個の都道府県に分けられるか,47個,P37,2021/07/01
都道府県はそれぞれ何個ずつあるか,1都1道2府43県,P38,2021/07/01
日本には海に面していない県がある。その県のことをなんと呼ぶか,内陸県,P38,2021/07/01
熱帯雨林が広がり1年中高温な地域は何気帯に属されるか,熱帯,P42,2021/07/01
熱帯雨林の入り口には何が広がるか,マングローブ,P42,2021/07/01
熱帯の海には何が広がるか,サンゴ礁,P42,2021/07/01
1年の大半は雪と氷に覆われているような期待を何気滞と呼ぶか,寒帯,P42,2021/07/01
冷帯にはなんと呼ばれる針葉樹林が広がっているか,タイガ,P42,2021/07/01
寒帯では一日中太陽が沈まない何が起こる時期があるか,白夜,P42,2021/07/01
カナダ北部には何と呼ばれる人々が暮らしているか,イヌイット,P42,2021/07/01
カリブーたちはかつては何を狩ることが主流だったか,カリブー,P42,2021/07/01
サハラ砂漠やアラビア半島のように雨がとても少ない気帯を何気帯と呼ぶか,乾燥帯,P42,2021/07/01
乾燥帯では何と呼ばれる湧水が出てくる周辺で生活しているか,オアシス,P42,2021/07/01
乾燥帯の短い草が生えている場所では家畜をあちこちに移動しながら飼う何が盛んに行われているか,遊牧,P42,2021/07/01
温暖な地域が多い気帯を何気帯とよぶか,温帯,P42,2021/07/01
イタリアなどの温帯では乾燥する夏に何などが作られるか,オリーブやぶどう,P42,2021/07/01
イタリアなどの雨の多い冬などに何が作られるか,小麦,P42,2021/07/01
日本では何の変化がはっきりしているか,四季,P42,2021/07/01
高山ではある程度標高が低いところではとうもろこしが作られるがとうもろこしが作られている標高より高い標高のところでは何が作られているか,じゃがいも,P42,2021/07/01
高山ではアルパカやリャマなどを放し飼う何が盛んか,放牧,P42,2021/07/01
海抜高度100mあたり何度気温が下がるか,0.55度,P43,2021/07/01
雨を降らせやすい海水は暖流と寒流のどちらか,暖流,P43,2021/07/01
乾燥させやすい海水は暖流と寒流のどちらか,寒流,P43,2021/07/01
季節によって流れ方を変える風のことをなんと呼ぶか,季節風(モンスーン),P43,2021/07/01
中緯度から極地方へ常に西から吹く風のことをなんと呼ぶか,偏西風,P43,2021/07/01
一年中暑く雨がよく降る気体のことを何気帯と呼ぶか,熱帯,P44,2021/07/01
雨がなかなか降らずオアシスが発生するところに人々が暮らす気帯の事を何気帯と呼ぶか,乾燥帯,P44,2021/07/02
乾燥帯では短い丈の草が広がる何草原が広がるか,ステップ,P44,2021/07/02
ステップ気候のなかにあるサハラ砂漠の南側のどこでは砂漠化が進んでいるか,サへル,P44,2021/07/02
温暖な気候で四季の変化が見られる気帯を何気帯と呼ぶか,温帯,P44,2021/07/02
温帯の中にある温暖湿潤気候は何アジアに分布しているか,東アジア,P44,2021/07/02
温暖湿潤気候の国の夏は海から吹く何の影響で高温多湿になるか,季節風,P44,2021/07/02
温暖湿潤気候の中の冬は大陸から吹く季節風によりどのような気候になっているか,寒い,P44,2021/07/02
温帯の中の地中海性気候で夏はどのような気候になっているか,高温で乾燥している,P44,2021/07/02
地中海性気候の中での冬はどのような気候になっているか,比較的降水量が多い,P44,2021/07/02
温帯の中の西岸海洋性気候は何ヨーロッパに属しているか,西ヨーロッパ,P44,2021/07/02
西岸海洋性気候は何風と何流のせいで高緯度な割に温暖であるか,偏西風・北大西洋海流,P44,2021/07/02
冷帯はどのような地域に属しているか,シベリアなどの高緯度な場所,P44,2021/07/02
タイガと呼ばれる針葉樹林の下にはなんと呼ばれる土が広がっているか,永久凍土,P44,2021/07/02
寒帯では樹林が育つか育たないか,育たない,P44,2021/07/02
寒帯の中のツンドラ気候は夏に雪が溶けわずかに何が生えるか,苔,P44,2021/07/02
寒帯の中の氷雪気候は1年中何や何に覆われているか,雪や氷,P44,2021/07/02
カナダ北部で暮らしている民族のことをなんと呼ぶか,イヌイット,P46,2021/07/02
イヌイットたちは何や何の毛で作った服を着ているか,トナカイ・あざらし,P46,2021/07/02
アンデス山脈の高地で暮らす人々はなんと呼ばれる服を着ているか,ポンチョ,P46,2021/07/02
ポンチョには何の動物の毛が使われているか,アルパカ,P46,2021/07/02
イスラム教徒に入っている女性はなんと呼ばれる服を着ているか,チャドル,P46,2021/07/02
チャドルの特徴を答えなさい,露出している場所が少ない,P46,2021/07/02
インドの女性はなんと呼ばれる服を着ているか,サリー,P46,2021/07/02
朝鮮半島の女性はなんと呼ばれる服を着て生活しているか,チマ・チョゴリ,P46,2021/07/02
米を主食とする地域は何が多いか,降水量,P47,2021/07/02
米を麺にして食したりすることがあるがその米の粉から作る麺のことをなんと呼ぶか,ビーフン,P47,2021/07/02
米を作ることを何作と呼ぶか,稲作,P47,2021/07/02
雨の少ない場所では何がよく作られるか,小麦,P47,2021/07/02
小麦などを作ることを何作と呼ぶか,畑作,P47,2021/07/02
小麦は主に何とされ食されることが多いか,パンや、パスタ,P47,2021/07/02
中央アメリカや南アメリカでは何が主に食べられているか,とうもろこし,P47,2021/07/02
太平洋の島々やアフリカの人々は主に何芋や何が食されているか,タロイモやキャッサバ,P47,2021/07/02
イヌイットの住む家のことをなんとよぶか,イグルー,P47,2021/07/02
イグルーは何でできているか,氷,P47,2021/07/02
高温多雨で高温多湿の熱帯は家の中に熱や湿気がこもらないようにどのような工夫がされているか,高床式にしている,P47,2021/07/02
乾燥帯の家は何でできているか,日干し煉瓦,P47,2021/07/02
日干しレンガの家にするとどのようないいことがあるか,強い日差しを防げる,P48,2021/07/02
乾燥帯の家の窓は小さい。それはなぜ？,熱い風や砂埃の侵入を防ぐため,P48,2021/07/02
モンゴルでは遊牧が盛ん。では住居はどのようになっていいる？,折りたたみ式で持ち運びしやすくなっている(ゲル),P48,2021/07/02
イタリアの住居の材料は何？,石,P48,2021/07/02
イタリアの住居は窓が小さい。それはなぜ？,強い日差しを防ぐため,P48,2021/07/02
イヌイットは犬ぞりや何を使って移動している？,スノーモービル,P48,2021/07/02
キリスト教の聖地はどこ？,エルサレム,P49,2021/07/02
キリスト教を始めたのは誰？,イエス=キリスト,P49,2021/07/02
キリスト教の教典をなんとよぶ？,聖書,P49,2021/07/02
イスラム教の聖地はどこ？,メッカ,P49,2021/07/02
イスラム教の聖典を何と呼ぶ？,コーラン,P49,2021/07/02
イスラム教は誰が7世紀ごろに始めた？,ムハンマド,P49,2021/07/03
仏教の聖地はどこ？,ブッダガヤ,P49,2021/07/03
仏教の教典を何と呼ぶ？,経,P49,2021/07/03
仏教は誰が紀元前7世紀ごろに始めた？,シャカ,P49,2021/07/03
ヒンドゥー教は何と呼ばれる身分制度と深いつながりを持っている？,カースト,P49,2021/07/03
ヒンドゥー教徒は神の使いとされる何を食べていない？,牛,P49,2021/07/03
ヒンドゥー教徒は聖なる川とされるガンジス川で身を清める何を行う？,沐浴,P49,2021/07/03
イスラム教徒は飲酒をせず何を食べない？,ぶた,P49,2021/07/03
イスラム教徒はなぜ豚を食べない？,豚をけがわらしい生き物だと思っているから,P49,2021/07/03
イスラム教徒は1日に何回メッカに向かって祈る？,5回,P49,2021/07/03
イスラム教徒は何ヶ月の断食を行う時期がある？,1ヶ月,P49,2021/07/03
キリスト教徒は何曜日に教会へ礼拝へ行くか,日曜日,P49,2021/07/03
アジアの人口は世界の人口の何割を占める？,６割,P50,2021/07/03
アジアの中央には世界の何と呼ばれる8000メートル級の山々が連なっている？,世界の屋根,P51,2021/07/03
アジアの中央には世界で1番大きな何山脈がある？,ヒマラヤ山脈,P51,2021/07/03
ヒマラヤ山脈の近くには何と呼ばれる高原が広がっている？,チベット高原,P51,2021/07/03
ラオスやシンガポール、タイ、ベトナムがある半島を何半島と呼ぶ？,インドシナ半島,P51,2021/07/03
中華人民共和国から海に流れ出てくる河川を2つ答えなさい,黄河、長江,P51,2021/07/03
インドシナ半島に流れる河川を答えなさい,メコン川,P51,2021/07/03
河口付近で文明が発展した川を答えなさい,インダス川,P51,2021/07/03
中央アジアには世界最大の何海があるか。2つ答えなさい,カスピ海、アラル海,P51,2021/07/03
アジア東部から南部にかけては夏と冬で風向きが変わる何風が流れているか,季節風,P51,2021/07/03
インドシナ半島や南アジアでは夏は海から吹く季節風によって何季となるか,雨季,P51,2021/07/03
インドシナ半島や南アジアでは冬は大陸から吹く季節風によって何季となるか,乾季,P51,2021/07/03
赤道付近では年中どんな気候であるか,高温多雨,P51,2021/07/03
モンゴル高原や中央アジア、西アジアでは季節風の影響を受けず雨が少ないため何が広がっているか,砂漠,P51,2021/07/03
シベリアには夏でも地中の氷が溶けない何が広がっているか,永久凍土,P51,2021/07/03
中国の黄河流域では何文明が発洋したか,中国文明,P52,2021/07/03
中国利権の争奪が起こった後何革命が起こり中華民国が建国されたか,辛亥革命,P52,2021/07/03
中国と日本は1978年に何条約が結ばれたか,日中平和友好条約,P52,2021/07/03
中国の北部には何砂漠が広がっているか,ゴビ砂漠,P52,2021/07/03
中国の西部には何砂漠が広がっているか,タクラマカン砂漠,P52,2021/07/03
中国は国の人口の９割を何族が占めるか,漢族,P53,2021/07/03
中国には自治を認めた何区があるか,自治区,P53,2021/07/03
中国の人口は約何人？,約14.4億人,P53,2021/07/03
中国は人口の増加を抑えるために何政策を始めた？,一人っ子政策,P53,2021/07/03
中国は1980年代には農村部に人口の何割が暮らしていた？,８割以上,P53,2021/07/03
現在の中国の都市部には人口の何割以上が生活している？,5割以上,P53,2021/07/03
中国の北部では何作が盛ん？,畑作,P54,2021/07/03
中国の南では何作が盛ん？,稲作,P54,2021/07/03
中国の穀物の生産量の割合は世界の穀物の生産量の割合の約何割を占めている？,約２割,P54,2021/07/03
経済特区とは何？,外国資本を導入して資本主義経済の原理に基づく経済活動が認められている地区,P54,2021/07/03
中国の製品は全世界に輸出されている。そのため何と呼ばれるようになったか,世界の工場,P54,2021/07/03
元々大韓民国の保存食であったが日本でもよく食べられるようになっている食べ物は何？,キムチ,P54,2021/07/03
韓国では何の教えが生活に大きく影響しているか,儒教,P54,2021/07/03
儒教にはどのような教えが入っているか,親や目上の人を尊敬し食事の際には箸を使う,P54,2021/07/03
ヨーロッパの地中海沿岸ではなに文明が発展したか,古代ギリシャ・ローマ文明,P69,2021/07/04
ヨーロッパの地中海沿岸では15世紀から何時代が始まったか,大航海時代,P69,2021/07/04
イギリスでは18世紀半ばに何革命が起こったか,産業革命,P69,2021/07/04
18世期にイギリスで起こった産業革命後イギリスでは何主義が確立したか,資本主義,P69,2021/07/04
1990年代に冷戦は終結しその以降何による経済統合が進められたか,ヨーロッパ連合(EU),P69,2021/07/04
ヨーロッパ北部のスカンディナビア半島には氷河の侵食を受けた複雑な海岸線の何がみられるか,フィヨルド,P69,2021/07/04
ヨーロッパ北部から中央部にかけては何川と何川が流れているか,ライン川・ドナウ川,P69,2021/07/04
ライン川やドナウ川などの河川のことを何河川と呼ぶか,国際河川,P69,2021/07/04
ヨーロッパ内部には何山脈を中心とした山々が連なっているか,アルプス山脈,P69,2021/07/04
西ヨーロッパは暖流の何海流と何風の影響で高緯度の割に比較的温暖か,北大西洋海流・偏西風,P70,2021/07/04
